Index	Label	Frequency
0	<pad>	60000
1	<start>	60000
2	<stop>	60000
3	tom	17641
4	doesn'	1330
5	t	24944
6	want	6949
7	to	40419
8	be	7586
9	a	26250
10	hero	41
11	.	60000
12	we	7770
13	rode	8
14	boat	105
15	the	36139
16	island	55
17	she	6420
18	is	18519
19	from	2164
20	france	80
21	this	11428
22	private	74
23	property	15
24	have	10613
25	you	47343
26	ever	799
27	eaten	215
28	banana	21
29	pie	42
30	?	30506
31	he	12407
32	greeted	32
33	his	4701
34	parents	493
35	mary	2363
36	showed	135
37	alice	16
38	her	2999
39	engagement	20
40	ring	71
41	she'	460
42	s	13896
43	rather	181
44	good	2489
45	bought	516
46	shirt	123
47	for	8742
48	him	3908
49	i'	14491
50	ll	4213
51	go	4475
52	and	3792
53	get	3418
54	your	8172
55	coat	168
56	store	176
57	open	501
58	on	5778
59	sundays	43
60	war'	1
61	not	6649
62	pretty	360
63	look	1373
64	it	11961
65	up	2855
66	party'	4
67	over	870
68	there	3286
69	aren'	613
70	as	3058
71	many	1210
72	trains	18
73	at	4683
74	night	1022
75	another	462
76	ten	300
77	miles	33
78	walk	433
79	before	1056
80	sunset	17
81	pulled	43
82	door	679
83	i	49902
84	love	1192
85	being	653
86	alone	918
87	became	199
88	pregnant	18
89	always	1111
90	fed	66
91	my	8809
92	dog	761
93	food	440
94	that	14515
95	comes	205
96	in	11105
97	big	530
98	green	77
99	bag	135
100	need	2541
101	time	3630
102	cancel	36
103	don'	10580
104	sound	203
105	very	3426
106	surprised	343
107	advised	242
108	haven'	612
109	been	1995
110	invited	209
111	yet	649
112	if	2923
113	help	2244
114	,	10162
115	met	409
116	lot	1277
117	of	12190
118	nice	488
119	people	1285
120	waste	144
121	ammunition	13
122	like	5928
123	leaving	172
124	job	1002
125	half	151
126	done	870
127	rain	339
128	has	2807
129	let	1258
130	so	2517
131	can	5022
132	begin	116
133	nothing'	13
134	same	597
135	they	4302
136	water	574
137	does	1066
138	work	1540
139	it'	3932
140	hot	256
141	here	3534
142	m	8271
143	one	2926
144	employees	28
145	am	1393
146	fat	122
147	no	3112
148	doubt	81
149	was	9605
150	murdered	23
151	wherever	46
152	made	1225
153	cry	118
154	eating	290
155	habits	17
156	are	8383
157	essential	18
158	put	898
159	with	5551
160	way	1229
161	behaves	9
162	ignored	41
163	almost	450
164	all	4658
165	day	1407
166	can'	3516
167	tolerate	16
168	kind	625
169	behavior	55
170	please	2106
171	tell	2350
172	me	11044
173	you'	6893
174	re	7463
175	making	237
176	play	604
177	tennis	204
178	every	894
179	must	1190
180	reflect	6
181	our	1245
182	failure	47
183	when	2232
184	do	12714
185	take	1987
186	chance	259
187	say	1396
188	what	8078
189	quit	240
190	believe	1034
191	did	4698
192	ability	41
193	make	1640
194	plan	464
195	couldn'	649
196	keep	852
197	snickering	9
198	wait	595
199	office	315
200	anyone	666
201	else	529
202	notice	72
203	father	834
204	likes	389
205	strong	170
206	coffee	436
207	waited	124
208	till	79
209	there'	813
210	little	996
211	bit	323
212	glass	147
213	disguised	9
214	himself	295
215	fireman	6
216	thought	1436
217	think	4346
218	impossible	117
