Index	Label
0	<pad>
1	<start>
2	<stop>
3	tom
4	ne
5	veut
6	pas
7	être
8	un
9	héros
10	.
11	nous
12	avons
13	pris
14	bateau
15	vers
16	l'
17	île
18	elle
19	vient
20	de
21	france
22	c'
23	est
24	une
25	propriété
26	privée
27	as-tu
28	déjà
29	mangé
30	tarte
31	à
32	la
33	banane
34	?
35	il
36	a
37	salué
38	ses
39	parents
40	mary
41	montra
42	alice
43	sa
44	bague
45	fiançailles
46	plutôt
47	bonne
48	acheté
49	chemise
50	pour
51	lui
52	je
53	vais
54	aller
55	chercher
56	votre
57	manteau
58	ce
59	magasin
60	est-il
61	ouvert
62	le
63	dimanche
64	guerre
65	n'
66	belle
67	rechercherai
68	fête
69	finie
70	y
71	autant
72	trains
73	nuit
74	devons
75	encore
76	marcher
77	seize
78	kilomètres
79	avant
80	coucher
81	du
82	soleil
83	ouvrit
84	porte
85	j'
86	adore
87	me
88	trouver
89	seule
90	tombée
91	enceinte
92	ai
93	toujours
94	donné
95	manger
96	mon
97	chien
98	nourriture
99	canine
100	qui
101	se
102	présente
103	dans
104	grand
105	sac
106	vert
107	faut
108	temps
109	annule
110	ça
111	t'
112	entendre
113	,
114	tu
115	as
116	air
117	très
118	surpris
119	conseilla
120	été
121	invitées
122	si
123	besoin
124	d'
125	aide
126	aiderai
127	rencontré
128	plein
129	gens
130	sympas
131	gaspillez
132	munitions
133	aime
134	laisser
135	boulot
136	moitié
137	fait
138	pluie
139	s'
140	apaisée
141	donc
142	pouvons
143	commencer
144	rien
145	pareil
146	elles
147	ont
148	et
149	eau
150	cela
151	fonctionne-t-il
152	toi
153	chaud
154	ici
155	suis
156	vos
157	employés
158	suis-je
159	grosse
160	doute
161	qu'
162	assassiné
163	peux
164	où
165	veux
166	fit
167	pleurer
168	habitude
169	bien
170	essentiel
171	pouvez-vous
172	supporter
173	manière
174	comporter
175	ignora
176	presque
177	toute
178	journée
179	tolérer
180	genre
181	conduite
182	dis-moi
183	que
184	es
185	en
186	train
187	inventer
188	te
189	plaît
190	joue
191	au
192	tennis
193	tous
194	les
195	jours
196	interroger
197	sur
198	notre
199	échec
200	quand
201	ont-ils
202	moi
203	saisir
204	cette
205	chance
206	quoi
207	démissionner
208	faire
209	tout
210	seul
211	arrive
212	croire
213	ait
214	capacité
215	élaborer
216	bon
217	plan
218	pu
219	m'
220	empêcher
221	pouffer
222	attends-moi
223	bureau
224	est-ce
225	quelqu'
226	autre
227	remarqué
228	ceci
229	père
230	café
231	fort
232	attendu
233	jusqu'
234	dix
235	heures
236	peu
237	verre
238	déguisé
239	pompier
240	pensais
241	étais
242	pense
243	impossible
244	résoudre
245	problème
246	voyages
247	moi-même
248	savons
249	parler
250	français
251	perdu
252	premier
253	lieu
254	attention
255	mangeons
256	buvons
257	vous
258	voulez
259	rester
260	êtes
261	bienvenues
262	autoroute
263	était
264	bloquée
265	trempai
266	doigt
267	miel
268	fonctionné
269	avez-vous
270	tête
271	auras
272	certains
273	ceux-ci
274	peux-tu
275	déboucher
276	toilettes
277	dire
278	va
279	rues
280	étaient
281	couvertes
282	neige
283	quelle
284	son
285	intention
286	viendriez
287	peut-être
288	enfant
289	endormi
290	comme
291	ange
292	fut
293	apprendre
294	savoir
295	hors
296	norme
297	simplement
298	quelque
299	chose
300	fais
301	moyen
302	subsistance
303	vois
304	ami
305	fûmes
306	nouvelles
307	pourrais
308	vouloir
309	soit
310	rendu
311	on
312	pressé
